Matriculation Number,Name,First Name,Study Program,Serie,Date of Birth
2023AM289G,Said,KAZAD,Biologie,C,12-02-1999
2023WY807L,Kaniza,LOHAMED,AES,A1,02-03-1996
2023IY839E,Said,KAZAD,Biologie,C,12-02-1999
2023KR168Z,Kaniza,LOHAMED,AES,A1,02-03-1996
2023PV591O,Said,KAZAD,Biologie,C,12-02-1999
2023LA160N,Kaniza,LOHAMED,AES,A1,02-03-1996
2023YO482Q,Said,KAZAD,Biologie,C,12-02-1999
2023SB356X,Kaniza,LOHAMED,AES,A1,02-03-1996
2023AZ298K,Said,KAZAD,Biologie,C,12-02-1999
2023AL598U,Kaniza,LOHAMED,AES,A1,02-03-1996
2023QR592L,Said,KAZAD,Biologie,C,12-02-1999
2023QX142O,Kaniza,LOHAMED,AES,A1,02-03-1996
2023TO987M,Said,KAZAD,Biologie,C,12-02-1999
2023UH512Q,Kaniza,LOHAMED,AES,A1,02-03-1996
2023XD204O,Said,KAZAD,Biologie,C,12-02-1999
2023SP823Q,Kaniza,LOHAMED,AES,A1,02-03-1996
2023YA843K,Said,KAZAD,Biologie,C,12-02-1999
2023QA871U,Kaniza,LOHAMED,AES,A1,02-03-1996
2023IS975X,Said,KAZAD,Biologie,C,12-06-1999
2023EA187I,Kaniza,LOHAMED,AES,A1,02-03-1996
2023LD157X,Said,KAZAD,Biologie,C,12-06-1999
2023NF837X,Kaniza,LOHAMED,AES,A1,02-03-1996
2023ZB953I,Said,KAZAD,Biologie,C,12-06-1999
2023FX587T,Kaniza,LOHAMED,AES,A1,02-03-1996
2023CG925B,Said,KAZAD,Biologie,C,12-06-1999
2023KI108X,Kaniza,LOHAMED,AES,A1,02-03-1996
2023XA026I,Said,KAZAD,Biologie,C,12-06-1999
2023OP623Z,Kaniza,LOHAMED,AES,A1,02-03-1996
2023AV946H,Said,KAZAD,Biologie,C,12-06-1999
2023IM315K,Kaniza,LOHAMED,AES,A1,02-03-1996
2023EM248R,Said,KAZAD,Biologie,C,12-06-1999
2023OQ732H,Kaniza,LOHAMED,AES,A1,02-03-1996
2023VN062I,Said,KAZAD,Biologie,C,12-06-1999
2023DK679C,Kaniza,LOHAMED,AES,A1,02-03-1990
2023CI306E,Said,KAZAD,Biologie,C,12-06-1992
